run	command_calls	mcp_calls	mcp_failed	total_turns
S0_nomcp_py_task1	1	0	0	1
S0_nomcp_ts_task1	1	0	0	1
S1_basic_memory_py_search_billing	0	1	0	1
S1_basic_memory_py_search_billing_content	0	6	0	1
S1_basic_memory_py_search_global	0	2	0	1
S1_basic_memory_py_write	0	3	1	1
S1_basic_memory_ts_search_py_note	0	1	0	1
S1_basic_memory_ts_write	0	4	0	1
S1_chroma_py_find	0	1	0	1
S1_chroma_py_ns_setup	0	5	0	1
S1_chroma_ts_ns_setup	0	5	0	1
S1_chroma_ts_ns_verify	0	2	0	1
S1_chroma_ts_store	0	5	1	1
S1_codex_wrapper_codex	0	1	0	1
S1_codex_wrapper_ping	0	1	0	1
S1_eslint_py	1	1	1	1
S1_eslint_ts	0	1	1	1
S1_lsp_py_definition	1	3	1	1
S1_lsp_py_definition_direct	0	1	0	1
S1_lsp_py_definition_warm	6	5	3	1
S1_lsp_ts_definition	3	6	1	1
S1_lsp_ts_definition_direct	3	3	3	0
S1_memory_py_collision	0	3	0	1
S1_memory_py_find	0	1	0	1
S1_memory_ts_store	0	2	0	1
S1_qdrant_py_find_global	0	1	0	1
S1_qdrant_ts_store_find	0	3	1	1
S1_shinpr_py_global_query	0	1	0	1
S1_shinpr_py_ingest	0	2	0	1
S1_shinpr_py_ingest_pyproject	1	3	1	1
S1_shinpr_ts_global_from_py	0	1	0	1
S1_shinpr_ts_query_pydata	0	1	0	1
S1_shinpr_ts_rag	0	4	2	1
S1_shinpr_ts_rag_retry	0	2	0	1
S2_basic_memory_project_arg_iso	0	3	0	1
S2_basic_memory_project_iso	0	7	4	1
baseline_ts_task1	1	0	0	1
