target	test	runs	ok	fail	avg_ms	p50_ms	p95_ms
qdrant_api	http_probe	50	50	0	2.070	1.848	2.404
archon_health	http_probe	50	50	0	4.253	4.114	5.271
archon_mcp_health	http_probe	50	50	0	20.218	19.072	23.260
docs_mcp_ui	http_probe	30	30	0	2.398	2.676	3.234
surreal_mcp_health	http_probe	30	30	0	2.130	1.968	2.552
surrealdb_health	http_probe	30	30	0	2.301	2.081	2.827
qdrant_vector_stress	upsert_batch_100x5	5	5	0	3.902	NA	4.009
qdrant_vector_stress	search_100	100	100	0	2.778	NA	3.301
surrealdb_rpc_query	rpc_query	50	0	50	1.839	1.963	2.459
qdrant_api	http_probe_refresh_20260220-184129	100	100	0	4.483	2.206	15.281
archon_health	http_probe_refresh_20260220-184129	100	100	0	4.063	3.003	7.574
archon_mcp_health	http_probe_refresh_20260220-184129	100	100	0	26.625	23.349	42.827
docs_mcp_ui	http_probe_refresh_20260220-184129	60	60	0	1.998	1.678	3.489
surreal_mcp_health	http_probe_refresh_20260220-184129	60	60	0	1.688	1.584	2.249
surrealdb_rpc_probe	http_probe_refresh_20260220-184129	60	60	0	1.244	1.069	2.505
archon_mcp_toolcall	health_check_post_refresh_20260220-184129	30	30	0	24.727	23.966	29.447
surreal_mcp_initialize	initialize_post_refresh_20260220-184129	30	30	0	2.168	2.059	3.257
qdrant_vector_stress	upsert_batch_100x10_refresh_20260220-184129	10	10	0	3.398	3.050	6.078
qdrant_vector_stress	search_200_refresh_20260220-184129	200	200	0	1.589	1.415	2.200
