name	category	score	ui_available	ui_type	default_ui	docs_source	eval_status	stack_integration	notes
coleam00 Archon	memory-workflow	6.8	yes	local web app	http://localhost:3737	https://github.com/coleam00/Archon/blob/stable/README.md	tested	integrated (full/archon)	Primary dashboard + onboarding + MCP config copy flow.
SurrealDB MCP	memory-backend	6.7	yes	web app (Surrealist)	https://app.surrealdb.com (or self-hosted Surrealist)	https://surrealdb.com/docs/surrealist	tested	integrated (full/surreal)	MCP server itself has no dashboard; Surrealist is the DB UI.
qdrant mcp-server-qdrant	memory-rag	7.7	yes	Qdrant dashboard	http://localhost:6333/dashboard/	https://qdrant.tech/documentation/web-ui/	tested	integrated (core+)	Dashboard comes from Qdrant backend, used by qdrant MCP instances.
ardaaltinors MemCP	memory	5.6	yes	local + cloud dashboard	http://localhost:80 (prod docker) / http://localhost:4321 (dev)	https://github.com/ardaaltinors/MemCP/blob/main/docs/RUNNING_LOCALLY.md	tested	not integrated	Feature-rich but lower reliability and heavier infra/auth complexity.
doobidoo mcp-memory-service	memory	5.4	yes	dashboard web app	http://localhost:8000	https://github.com/doobidoo/mcp-memory-service/blob/main/README.md	tested	not integrated	Dashboard exists; MCP startup reliability was weaker in this environment.
arabold docs-mcp-server	docs-context	6.2	yes	management web ui	http://localhost:6280	https://github.com/arabold/docs-mcp-server/blob/main/README.md	tested	integrated (full/docs)	Web UI, plus MCP endpoints /mcp and /sse.
thedotmack claude-mem	memory-plugin	6.2	yes	web viewer	http://localhost:37777	https://github.com/thedotmack/claude-mem/blob/main/README.md	evaluated	not integrated	UI depends on claude-mem worker runtime; plugin-centric.
basicmachines basic-memory	memory	7.8	yes	cloud web app	https://basicmemory.com	https://github.com/basicmachines-co/basic-memory/blob/main/README.md	tested	not integrated (UI)	Selected MCP server is local-first; cloud UI is optional.
getzep graphiti	memory-graph	6.1	yes	managed dashboard (Zep)	https://www.getzep.com	https://github.com/getzep/graphiti/blob/main/README.md	tested	not integrated	Dashboard belongs to managed Zep platform; OSS Graphiti requires custom ops.
Significant-Gravitas AutoGPT	workflow-framework	4.7	yes	platform frontend	http://localhost:3000	https://github.com/Significant-Gravitas/AutoGPT/blob/master/README.md	evaluated	not integrated	Not a direct Codex MCP server; high ops overhead.
HKUDS AutoAgent	workflow-framework	4.6	yes	GUI mode	http://localhost:3000	https://github.com/HKUDS/AutoAgent/blob/main/README.md	evaluated	not integrated	Framework with UI, but not a direct MCP coding-context server.
westonbrown Cyber-AutoAgent	workflow-framework	3.9	yes	react terminal + observability ui	http://localhost:3000	https://github.com/westonbrown/Cyber-AutoAgent/blob/main/README.md	skipped	not integrated	Archived/high-risk offensive-security focus.
ItMeDiaTech rag-cli	workflow-plugin	5.3	yes	enhanced web dashboard	project-defined (dashboard module)	https://github.com/ItMeDiaTech/rag-cli	evaluated	not integrated	Plugin-centric workflow; not Codex-native MCP-first.
SpillwaveSolutions agent-brain	workflow-plugin	5.6	yes	swagger/reDoc API ui	http://localhost:8000/docs	https://github.com/SpillwaveSolutions/agent-brain/blob/main/docs/API_REFERENCE.md	evaluated	not integrated	API docs UI available; primarily plugin/server workflow.
Docfork	docs-context	6.0	yes	hosted web app	https://docfork.com/	https://docfork.com/	evaluated	not integrated	Cloud docs service, not local-first MCP runtime.
